icd_code	sex	trait
N15	NA	Other renal tubulo-interstitial diseases
J82	NA	Pulmonary eosinophilia, not elsewhere classified
G00	NA	Bacterial meningitis, not elsewhere classified
H58	NA	Other disorders of eye and adnexa
C83	NA	Non-follicular lymphoma
B91	NA	Sequelae of poliomyelitis
C54	F	Malignant neoplasm of corpus uteri
L83	NA	Acanthosis nigricans
K71	NA	Toxic liver disease
E02	NA	Subclinical iodine-deficiency hypothyroidism
H06	NA	Other disorders of lacrimal gland
O01	F	Hydatidiform mole
B33	NA	Other viral diseases, not elsewhere classified
O44	F	Placenta previa
E24	NA	Cushing's syndrome
M30	NA	Polyarteritis nodosa and related conditions
A42	NA	Actinomycosis
O92	F	Other disorders of breast and lactation associated with childbirth
K36	NA	Other appendicitis
D84	NA	Other immunodeficiencies
O12	F	Gestational edema and proteinuria without hypertension
Q78	NA	Other osteochondrodysplasias
Q52	F	Other congenital malformations of female genitalia
W19	NA	Unspecified fall
M91	NA	Juvenile osteochondrosis of hip and pelvis
H19	NA	Other keratitis
A03	NA	Shigellosis
D56	NA	Thalassemia
J70	NA	Respiratory conditions due to other external agents
P96	NA	Other conditions originating in the perinatal period
L66	NA	Cicatricial alopecia
A48	NA	Other bacterial diseases, not elsewhere classified
B59	NA	Pneumocystosis
I68	NA	Other cerebrovascular disorders in diseases classified elsewhere
G94	NA	Other disorders of brain in diseases classified elsewhere
B88	NA	Other infestations
E26	NA	Hyperaldosteronism
M82	NA	Osteoporosis in diseases classified elsewhere
I79	NA	Disorders of arteries, arterioles and capillaries in diseases classified elsewhere
J05	NA	Acute obstructive laryngitis [croup] and epiglottitis
K03	NA	Other diseases of hard tissues of teeth
B30	NA	Viral conjunctivitis
J21	NA	Acute bronchiolitis
O61	F	Failed induction of labor
I13	NA	Hypertensive heart and chronic kidney disease
Q64	NA	Other congenital malformations of urinary system
F38	NA	Other mood [affective] disorders
Q62	NA	Congenital obstructive defects of renal pelvis and congenital malformations of ureter
B94	NA	Sequelae of other and unspecified infectious and parasitic diseases
F79	NA	Unspecified intellectual disabilities
G05	NA	Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere
M42	NA	Spinal osteochondrosis
F98	NA	Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
H95	NA	Postprocedural disorders of ear and mastoid process, not elsewhere classified
H13	NA	Other disorders of conjunctiva in diseases classified elsewhere
P03	NA	Newborn affected by other complications of labor and delivery
A31	NA	Infection due to other mycobacteria
C49	NA	Malignant neoplasm of other connective and soft tissue
Q55	M	Other congenital malformations of male genital organs
A36	NA	Diphtheria
Q07	NA	Other congenital malformations of nervous system
I28	NA	Other diseases of pulmonary vessels
F69	NA	Unspecified disorder of adult personality and behavior
X70	NA	Intentional self-harm by hanging, strangulation and suffocation
Q10	NA	Congenital malformations of eyelid, lacrimal apparatus and orbit
O87	F	Venous complications in the puerperium
E84	NA	Cystic fibrosis
N27	NA	Small kidney of unknown cause
O28	F	Abnormal findings on antenatal screening of mother
R99	NA	Other ill-defined and unspecified causes of mortality
K28	NA	Gastrojejunal ulcer
C91	NA	Lymphoid leukemia
I43	NA	Cardiomyopathy in diseases classified elsewhere
Q83	F	Other congenital malformations of breast
A86	NA	Unspecified viral encephalitis
O40	F	Polyhydramnios
F91	NA	Conduct disorders
L11	NA	Other acantholytic disorders
D76	NA	Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
D66	NA	Hereditary factor VIII deficiency
A18	NA	Tuberculosis of other organs
L64	NA	Androgenic alopecia
P95	NA	Fetal death of unspecified cause
E65	NA	Localized adiposity
Q80	NA	Congenital ichthyosis
J41	NA	Simple and mucopurulent chronic bronchitis
O22	F	Venous complications and hemorrhoids in pregnancy
G08	NA	Intracranial and intraspinal phlebitis and thrombophlebitis
M83	NA	Adult osteomalacia
I09	NA	Rheumatic heart diseases, specified as chronic
Q17	NA	Other congenital malformations of ear
O67	F	Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified
H28	NA	Cataract in diseases classified elsewhere
L41	NA	Parapsoriasis
A01	NA	Typhoid and paratyphoid fevers
A35	NA	Other tetanus
Q84	NA	Other congenital malformations of skin
A06	NA	Amoebiasis
B65	NA	Schistosomiasis [bilharziasis]
A39	NA	Meningococcal infection
Q68	NA	Other congenital musculoskeletal deformities
I06	NA	Rheumatic aortic valve diseases
E75	NA	Other disorders of sphingolipid metabolism and other lipid storage disorders
O10	F	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium
K23	NA	Disorders of esophagus in diseases classified elsewhere
G09	NA	Sequelae of inflammatory diseases of central nervous system
M08	NA	Juvenile arthritis
O15	F	Eclampsia
I23	NA	Certain current complications following acute myocardial infarction
N14	NA	Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
E01	NA	Iodine-deficiency-related thyroid disorders and allied conditions
C48	NA	Malignant neoplasm of retroperitoneum and peritoneum
Q30	NA	Congenital malformations of nose
Q04	NA	Other congenital malformations of brain
I40	NA	Acute myocarditis
D65	NA	Disseminated intravascular coagulation [defibrination syndrome]
J16	NA	Pneumonia due to other infectious organisms, not elsewhere classified
L88	NA	Pyoderma gangrenosum
E72	NA	Other disorders of amino-acid metabolism
G02	NA	Meningitis in other infectious and parasitic diseases classified elsewhere
C23	NA	Malignant neoplasm of gallbladder
H03	NA	Other disorders of eyelid
B82	NA	Unspecified intestinal parasitism
Q45	NA	Other congenital malformations of digestive system
D46	NA	Myelodysplastic syndromes
M61	NA	Other disorders of muscle
G14	NA	Postpolio syndrome
F15	NA	Mental and behavioural disorders due to use of other stimulants, including caffeine
J60	NA	Coalworker's pneumoconiosis
O33	F	Maternal care for disproportion
Q99	NA	Other chromosome abnormalities, not elsewhere classified
L10	NA	Pemphigus
O98	F	Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium
O85	F	Puerperal sepsis
B83	NA	Other helminthiases
E51	NA	Thiamine deficiency
B50	NA	Plasmodium falciparum malaria
A59	NA	Trichomoniasis
Q31	NA	Congenital malformations of larynx
N16	NA	Renal tubulo-interstitial disorders in diseases classified elsewhere
A81	NA	Atypical virus infections of central nervous system
W10	NA	Fall on and from stairs and steps
F90	NA	Attention-deficit hyperactivity disorders
A95	NA	Yellow fever
C84	NA	Mature T/NK-cell lymphomas
C17	NA	Malignant neoplasm of small intestine
A56	NA	Other sexually transmitted chlamydial diseases
O08	F	Complications following abortion and ectopic and molar pregnancy
F14	NA	Mental and behavioural disorders due to use of cocaine
Y83	NA	Surgical operation as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation
E63	NA	Other nutritional deficiencies
C55	F	Malignant neoplasm of uterus, part unspecified
G32	NA	Other degenerative disorders of nervous system, not elsewhere classified
L59	NA	Other disorders of skin and subcutaneous tissue related to radiation
Q33	NA	Congenital malformations of lung
G10	NA	Huntington's disease
L44	NA	Other papulosquamous disorders
F70	NA	Mild intellectual disabilities
Q16	NA	Congenital malformations of ear causing impairment of hearing
X59	NA	Exposure to unspecified factor
A90	NA	Dengue fever [classical dengue]
A28	NA	Other zoonotic bacterial diseases, not elsewhere classified
N29	NA	Other disorders of kidney and ureter in diseases classified elsewhere
H22	NA	Other disorders of iris and ciliary body in diseases classified elsewhere
C44	NA	Other malignant neoplasms of skin
H62	NA	Other disorders of external ear in diseases classified elsewhere
C02	NA	Malignant neoplasm of other and unspecified parts of tongue
C82	NA	Follicular lymphoma
Q22	NA	Congenital malformations of pulmonary and tricuspid valves
J64	NA	Unspecified pneumoconiosis
F63	NA	Habit and impulse disorders
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		

